FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
prevencao_risco.fid--370298aa_15b3a2610e3_6a8a,89143,Prolongamento do Canal Auxiliar do Rio Criciúma - Etapa 2 - Lote 2 - Criciúma - SC,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,SC,CRICIÚMA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,POINT (-49.37 -28.678),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a8b,89144,Drenagem urbana na Bacia do Rio Mascate - Fazenda Rio Grande - PR,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,PR,FAZENDA RIO GRANDE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-49.308 -25.658),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a8c,89332,Drenagem urbana sustentável na bacia hidrográfica do Rio Timotinho - Timóteo - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,MG,TIMÓTEO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-42.644 -19.583),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a8d,90418,Construção do Canal de Macrodrenagem Urbana do Igarapé do Caxangá - Boa Vista - RR,Cidade Melhor,Prevenção em áreas de risco,Ministério da Integração Nacional,Município,RR,BOA VISTA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em contratação,30 de Junho de 2016,POINT (-60.673 2.82),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a8e,14584,Elaboração de projetos para estabilização de encostas - Vitória - ES,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,ES,VITÓRIA,--,,Em execução,30 de Junho de 2016,POINT (-40.338 -20.319),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a8f,14585,Obras de Contenção de Encostas em Vitória - Vitória - ES,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,ES,VITÓRIA,--,,Em obras,30 de Junho de 2016,POINT (-40.325661 -20.315069),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a90,14586,Obras de Contenção de Encostas em Volta Redonda - Volta Redonda - RJ,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,RJ,VOLTA REDONDA,--,,Concluído,30 de Junho de 2016,POINT (-44.09 -22.522),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a91,44772,Instalação de comportas de regulação no Rio Itajaí Mirim com a finalidade de controlar a vazão afluente proveniente do montante- mantendo a vazão dentro da capacidade de escoamento- e proteger os efeitos do refluxo proveniente da juzante- durante os picos de enchente - Itajaí - SC,Cidade Melhor,Prevenção em áreas de risco,Ministério da Integração Nacional,Estado,SC,ITAJAÍ,--,,Em execução,30 de Junho de 2016,POINT (-48.6709583429595 -26.910593835306397),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a92,14461,Obras de Contenção de Encostas em Abreu e Lima - Abreu e Lima - PE,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,PE,ABREU E LIMA,--,,Em obras,30 de Junho de 2016,POINT (-34.9203300476074 -7.92633295059204),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a93,14462,Elaboração de projetos para estabilização de encostas - Angra dos Reis - RJ,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,RJ,ANGRA DOS REIS,--,,Em execução,30 de Junho de 2016,POINT (-44.318 -23.007),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a94,14465,Elaboração de projetos para estabilização de encostas - Barbacena - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,MG,BARBACENA,--,,Em execução,30 de Junho de 2016,POINT (-43.774 -21.226),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a95,14480,Obras de Contenção de Encostas em Cabo de Santo Agostinho - Cabo de Santo Agostinho - PE,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,PE,CABO DE SANTO AGOSTINHO,--,,Em obras,30 de Junho de 2016,POINT (-35.0320358276367 -8.28324317932128),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a96,14466,Elaboração/Revisão de Plano Municipal de Redução de Riscos - Barbacena- Betim- Brumadinho- Contagem- Coronel Fabriciano- Ipatinga- Itabira- Juiz de Fora- Nova Lima- Poços de Caldas- Sabará - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,BARBACENA- BETIM- BRUMADINHO- CONTAGEM- CORONEL FABRICIANO- IPATINGA- ITABIRA- JUIZ DE FORA- NOVA LIMA- POÇOS DE CALDAS- SABARÁ,--,,Em execução,30 de Junho de 2016,POINT (-46.56020457180027 -21.78668501610804),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a97,14466,Elaboração/Revisão de Plano Municipal de Redução de Riscos - Barbacena- Betim- Brumadinho- Contagem- Coronel Fabriciano- Ipatinga- Itabira- Juiz de Fora- Nova Lima- Poços de Caldas- Sabará - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,BARBACENA- BETIM- BRUMADINHO- CONTAGEM- CORONEL FABRICIANO- IPATINGA- ITABIRA- JUIZ DE FORA- NOVA LIMA- POÇOS DE CALDAS- SABARÁ,--,,Em execução,30 de Junho de 2016,POINT (-44.19826927587662 -20.14282070462056),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a98,14466,Elaboração/Revisão de Plano Municipal de Redução de Riscos - Barbacena- Betim- Brumadinho- Contagem- Coronel Fabriciano- Ipatinga- Itabira- Juiz de Fora- Nova Lima- Poços de Caldas- Sabará - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,BARBACENA- BETIM- BRUMADINHO- CONTAGEM- CORONEL FABRICIANO- IPATINGA- ITABIRA- JUIZ DE FORA- NOVA LIMA- POÇOS DE CALDAS- SABARÁ,--,,Em execução,30 de Junho de 2016,POINT (-44.19704544154224 -19.97380251333066),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a99,14466,Elaboração/Revisão de Plano Municipal de Redução de Riscos - Barbacena- Betim- Brumadinho- Contagem- Coronel Fabriciano- Ipatinga- Itabira- Juiz de Fora- Nova Lima- Poços de Caldas- Sabará - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,BARBACENA- BETIM- BRUMADINHO- CONTAGEM- CORONEL FABRICIANO- IPATINGA- ITABIRA- JUIZ DE FORA- NOVA LIMA- POÇOS DE CALDAS- SABARÁ,--,,Em execução,30 de Junho de 2016,POINT (-44.05341429601455 -19.93923006141882),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a9a,14466,Elaboração/Revisão de Plano Municipal de Redução de Riscos - Barbacena- Betim- Brumadinho- Contagem- Coronel Fabriciano- Ipatinga- Itabira- Juiz de Fora- Nova Lima- Poços de Caldas- Sabará - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,BARBACENA- BETIM- BRUMADINHO- CONTAGEM- CORONEL FABRICIANO- IPATINGA- ITABIRA- JUIZ DE FORA- NOVA LIMA- POÇOS DE CALDAS- SABARÁ,--,,Em execução,30 de Junho de 2016,POINT (-43.84628503385359 -19.98768728518681),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a9b,14466,Elaboração/Revisão de Plano Municipal de Redução de Riscos - Barbacena- Betim- Brumadinho- Contagem- Coronel Fabriciano- Ipatinga- Itabira- Juiz de Fora- Nova Lima- Poços de Caldas- Sabará - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,BARBACENA- BETIM- BRUMADINHO- CONTAGEM- CORONEL FABRICIANO- IPATINGA- ITABIRA- JUIZ DE FORA- NOVA LIMA- POÇOS DE CALDAS- SABARÁ,--,,Em execução,30 de Junho de 2016,POINT (-43.80688948332843 -19.8905836481783),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a9c,14466,Elaboração/Revisão de Plano Municipal de Redução de Riscos - Barbacena- Betim- Brumadinho- Contagem- Coronel Fabriciano- Ipatinga- Itabira- Juiz de Fora- Nova Lima- Poços de Caldas- Sabará - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,BARBACENA- BETIM- BRUMADINHO- CONTAGEM- CORONEL FABRICIANO- IPATINGA- ITABIRA- JUIZ DE FORA- NOVA LIMA- POÇOS DE CALDAS- SABARÁ,--,,Em execução,30 de Junho de 2016,POINT (-43.77403301195788 -21.22644699876584),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a9d,14466,Elaboração/Revisão de Plano Municipal de Redução de Riscos - Barbacena- Betim- Brumadinho- Contagem- Coronel Fabriciano- Ipatinga- Itabira- Juiz de Fora- Nova Lima- Poços de Caldas- Sabará - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,BARBACENA- BETIM- BRUMADINHO- CONTAGEM- CORONEL FABRICIANO- IPATINGA- ITABIRA- JUIZ DE FORA- NOVA LIMA- POÇOS DE CALDAS- SABARÁ,--,,Em execução,30 de Junho de 2016,POINT (-43.34743707366324 -21.76108243875711),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a9e,14466,Elaboração/Revisão de Plano Municipal de Redução de Riscos - Barbacena- Betim- Brumadinho- Contagem- Coronel Fabriciano- Ipatinga- Itabira- Juiz de Fora- Nova Lima- Poços de Caldas- Sabará - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,BARBACENA- BETIM- BRUMADINHO- CONTAGEM- CORONEL FABRICIANO- IPATINGA- ITABIRA- JUIZ DE FORA- NOVA LIMA- POÇOS DE CALDAS- SABARÁ,--,,Em execução,30 de Junho de 2016,POINT (-42.63305232292823 -19.5203489773302),0
prevencao_risco.fid--370298aa_15b3a2610e3_6a9f,14466,Elaboração/Revisão de Plano Municipal de Redução de Riscos - Barbacena- Betim- Brumadinho- Contagem- Coronel Fabriciano- Ipatinga- Itabira- Juiz de Fora- Nova Lima- Poços de Caldas- Sabará - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,BARBACENA- BETIM- BRUMADINHO- CONTAGEM- CORONEL FABRICIANO- IPATINGA- ITABIRA- JUIZ DE FORA- NOVA LIMA- POÇOS DE CALDAS- SABARÁ,--,,Em execução,30 de Junho de 2016,POINT (-42.53816057459875 -19.46779275675614),0
