FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
urbanizacao.fid--370298aa_15b3a2610e3_-731f,29020,Elaboração de Plano Local de Habitação - Amarante - PI,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,PI,AMARANTE,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-42.855 -6.241)),0
urbanizacao.fid--370298aa_15b3a2610e3_-731e,29026,Elaboração de Plano Local de Habitação - Balsa Nova - PR,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,PR,BALSA NOVA,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-49.636 -25.584)),0
urbanizacao.fid--370298aa_15b3a2610e3_-731d,29033,Elaboração de Plano Local de Habitação - Matinhos - PR,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,PR,MATINHOS,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-48.543 -25.818)),0
urbanizacao.fid--370298aa_15b3a2610e3_-731c,29041,Elaboração de Plano Local de Habitação - São Francisco de Itabapoana - RJ,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,RJ,SÃO FRANCISCO DE ITABAPOANA,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-41.119 -21.47)),0
urbanizacao.fid--370298aa_15b3a2610e3_-731b,29045,Elaboração de Plano Local de Habitação - São Paulo do Potengi - RN,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,RN,SÃO PAULO DO POTENGI,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-35.763 -5.895)),0
urbanizacao.fid--370298aa_15b3a2610e3_-731a,29065,Elaboração de Plano Local de Habitação - Campo Belo do Sul - SC,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,SC,CAMPO BELO DO SUL,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-50.761 -27.899)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7319,29086,Elaboração de Plano Local de Habitação - Santo André - SP,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,SP,SANTO ANDRÉ,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-46.538 -23.664)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7318,29118,Elaboração de Plano Local de Habitação - Araguaína - TO,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,TO,ARAGUAÍNA,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-48.207 -7.191)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7317,29128,Assistência Técnica - Ituberá - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Instituto de Desenvolvimento Sustentável do Baixo Sul da Bahia,BA,ITUBERÁ,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-39.149 -13.732)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7316,29133,Assistência Técnica - Vila Velha - ES,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Associação Habitacional da União Nacional por Moradia Popular do Espírito Santo,ES,VILA VELHA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-40.292 -20.33)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7315,29140,Assistência Técnica - Timbiras - MA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Instituto de Apoio Comunitário,MA,TIMBIRAS,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-43.941 -4.255)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7314,29160,Assistência Técnica - Recife - PE,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Associação de Apoio as Famílias Sem Teto do Estado de Pernambuco,PE,RECIFE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-34.881 -8.054)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7313,29166,Assistência Técnica - Cornélio Procópio - PR,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,União por Moradia Popular - PR,PR,CORNÉLIO PROCÓPIO,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-50.647 -23.181)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7312,29171,Assistência Técnica - Tibagi - PR,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,União por Moradia Popular - PR,PR,TIBAGI,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-50.414 -24.509)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7311,29192,Urbanização - Regularização do Loteamento Ponte Alta - Taboão da Serra - SP,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,SP,TABOÃO DA SERRA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-46.793128 -23.621597)),0
urbanizacao.fid--370298aa_15b3a2610e3_-7310,29194,Elaboração de estudos e projetos para urbanização - Comunidade Parque das Lagoas - Barra - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,BA,BARRA,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-43.142 -11.089)),0
