FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
quadra.fid--370298aa_15b3a2610e3_-6266,37587,Quadras Esportivas nas Escolas - Abaetetuba - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,ABAETETUBA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.8792760409065 -1.72218599741107)),0
quadra.fid--370298aa_15b3a2610e3_-6265,37587,Quadras Esportivas nas Escolas - Abaetetuba - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,ABAETETUBA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.8792760409065 -1.72218599741107)),0
quadra.fid--370298aa_15b3a2610e3_-6264,37588,Quadras Esportivas nas Escolas - Abaetetuba - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,ABAETETUBA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.8792760409065 -1.72218599741107)),0
quadra.fid--370298aa_15b3a2610e3_-6263,37588,Quadras Esportivas nas Escolas - Abaetetuba - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,ABAETETUBA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.8792760409065 -1.72218599741107)),0
quadra.fid--370298aa_15b3a2610e3_-6262,37589,Quadras Esportivas nas Escolas - Barcarena - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BARCARENA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.6199600716911 -1.51222856098527)),0
quadra.fid--370298aa_15b3a2610e3_-6261,37589,Quadras Esportivas nas Escolas - Barcarena - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,BARCARENA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-48.6199600716911 -1.51222856098527)),0
quadra.fid--370298aa_15b3a2610e3_-6260,37590,Quadras Esportivas nas Escolas - Marabá - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,MARABÁ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.1331086326805 -5.38113295032111)),0
quadra.fid--370298aa_15b3a2610e3_-625f,37591,Quadras Esportivas nas Escolas - Marabá - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,MARABÁ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-49.1331086326805 -5.38113295032111)),0
quadra.fid--370298aa_15b3a2610e3_-625e,37591,Quadras Esportivas nas Escolas - Marabá - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,MARABÁ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-49.1331086326805 -5.38113295032111)),0
quadra.fid--370298aa_15b3a2610e3_-625d,37592,Quadras Esportivas nas Escolas - Marabá - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,MARABÁ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-49.1331086326805 -5.38113295032111)),0
