FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
centroiniciacao.fid--370298aa_15b3a2610e3_717c,75990,Centro de Iniciação ao Esporte - Embu das Artes - SP - Modelo III,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,SP,EMBU DAS ARTES,--,,Em execução,30 de Junho de 2016,POINT (-46.85253197746774 -23.65059632047476),0
centroiniciacao.fid--370298aa_15b3a2610e3_717d,75991,Centro de Iniciação ao Esporte - Paço do Lumiar - MA - Modelo I,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,MA,PAÇO DO LUMIAR,--,,Em obras,30 de Junho de 2016,POINT (-44.108 -2.532),0
centroiniciacao.fid--370298aa_15b3a2610e3_717e,75992,Centro de Iniciação ao Esporte - Pinheiro - MA - Modelo III,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,MA,PINHEIRO,--,,Em execução,30 de Junho de 2016,POINT (-45.083 -2.521),0
centroiniciacao.fid--370298aa_15b3a2610e3_717f,75993,Centro de Iniciação ao Esporte - Codó - MA - Modelo II,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,MA,CODÓ,--,,Em execução,30 de Junho de 2016,POINT (-43.886 -4.455),0
centroiniciacao.fid--370298aa_15b3a2610e3_7180,75994,Centro de Iniciação ao Esporte - Presidente Prudente - SP - Modelo I,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,SP,PRESIDENTE PRUDENTE,--,,Em obras,30 de Junho de 2016,POINT (-51.389 -22.126),0
centroiniciacao.fid--370298aa_15b3a2610e3_7181,75995,Centro de Iniciação ao Esporte - Paragominas - PA - Modelo II,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,PA,PARAGOMINAS,--,,Em execução,30 de Junho de 2016,POINT (-47.353 -2.995),0
centroiniciacao.fid--370298aa_15b3a2610e3_7182,75996,Centro de Iniciação ao Esporte - Juazeiro - BA - Modelo III,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,BA,JUAZEIRO,--,,Em execução,30 de Junho de 2016,POINT (-40.503 -9.414),0
centroiniciacao.fid--370298aa_15b3a2610e3_7183,75997,Centro de Iniciação ao Esporte - Boa Vista - RR - Modelo III,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,RR,BOA VISTA,--,,Em execução,30 de Junho de 2016,POINT (-60.673 2.82),0
centroiniciacao.fid--370298aa_15b3a2610e3_7184,75998,Centro de Iniciação ao Esporte - Itabuna - BA - Modelo III,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,BA,ITABUNA,--,,Em obras,30 de Junho de 2016,POINT (-39.28 -14.786),0
centroiniciacao.fid--370298aa_15b3a2610e3_7185,75999,Centro de Iniciação ao Esporte - Sete Lagoas - MG - Modelo III,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,MG,SETE LAGOAS,--,,Em execução,30 de Junho de 2016,POINT (-44.247 -19.466),0
centroiniciacao.fid--370298aa_15b3a2610e3_7186,76000,Centro de Iniciação ao Esporte - Praia Grande - SP - Modelo II,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,SP,PRAIA GRANDE,--,,Em execução,30 de Junho de 2016,POINT (-46.403 -24.006),0
centroiniciacao.fid--370298aa_15b3a2610e3_7187,76001,Centro de Iniciação ao Esporte - Foz do Iguaçu - PR - Modelo III,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,PR,FOZ DO IGUAÇU,--,,Em execução,30 de Junho de 2016,POINT (-54.588 -25.548),0
centroiniciacao.fid--370298aa_15b3a2610e3_7188,76002,Centro de Iniciação ao Esporte - Jandira - SP - Modelo II,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,SP,JANDIRA,--,,Em execução,30 de Junho de 2016,POINT (-46.903 -23.528),0
